Especie,LON,LAT
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.254448,19.266666
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.335098,19.1035
Ambystoma_altamirani,-99.335098,19.1035
Ambystoma_altamirani,-99.342222,19.108889
Ambystoma_altamirani,-99.335098,19.1035
Ambystoma_altamirani,-99.342222,19.108889
Ambystoma_altamirani,-99.342222,19.108889
Ambystoma_altamirani,-99.342222,19.108889
Ambystoma_altamirani,-99.335098,19.1035
Ambystoma_altamirani,-99.393889,19.241944
Ambystoma_altamirani,-99.051102,19.2621
Ambystoma_altamirani,-99.051102,19.2621
Ambystoma_altamirani,-99.393889,19.241944
Ambystoma_altamirani,-99.384444,19.292222
Ambystoma_altamirani,-99.379722,19.297778
Ambystoma_altamirani,-99.379722,19.297778
Ambystoma_altamirani,-99.368611,19.290278
Ambystoma_altamirani,-99.368611,19.290278
Ambystoma_altamirani,-99.368611,19.290278
Ambystoma_altamirani,-99.379722,19.297778
Ambystoma_altamirani,-99.3601085,19.3006232
Ambystoma_altamirani,-99.3601085,19.3006232
Ambystoma_altamirani,-99.379722,19.297778
Ambystoma_altamirani,-99.3601085,19.3006232
Ambystoma_altamirani,-99.3714978,19.3211782
Ambystoma_altamirani,-99.3687197,19.2909017
Ambystoma_altamirani,-99.3687197,19.2909017
Ambystoma_altamirani,-99.3687197,19.2909017
Ambystoma_altamirani,-99.3687197,19.2909017
Ambystoma_altamirani,-99.3687197,19.2909017
Ambystoma_altamirani,-99.3687197,19.2909017
Ambystoma_altamirani,-99.386667,19.278056
Ambystoma_altamirani,-99.390278,19.303889
Ambystoma_altamirani,-99.390278,19.303889
Ambystoma_altamirani,-99.386398,19.302
Ambystoma_altamirani,-99.368611,19.290278
Ambystoma_altamirani,-99.368611,19.290278
Ambystoma_altamirani,-99.368611,19.290278
Ambystoma_altamirani,-99.293297,19.2661
Ambystoma_altamirani,-99.411499,19.066601
Ambystoma_altamirani,-99.411499,19.066601
Ambystoma_altamirani,-99.322778,19.070556
Ambystoma_altamirani,-99.322778,19.070556
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.411499,19.066601
Ambystoma_altamirani,-99.322778,19.070556
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.322778,19.070556
Ambystoma_altamirani,-99.322778,19.070556
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.322778,19.070556
Ambystoma_altamirani,-99.411499,19.066601
Ambystoma_altamirani,-99.411499,19.066601
Ambystoma_altamirani,-99.411499,19.066601
Ambystoma_altamirani,-99.411499,19.066601
Ambystoma_altamirani,-99.322778,19.070556
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.411499,19.066601
Ambystoma_altamirani,-99.322778,19.070556
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.381389,19.400556
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.363333,19.056944
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.363333,19.056944
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.395401,19.3932
Ambystoma_altamirani,-99.363333,19.056944
Ambystoma_altamirani,-99.358056,19.053056
Ambystoma_altamirani,-99.35,19.06
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.35,19.06
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.35,19.08
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.35,19.06
Ambystoma_altamirani,-99.4142,19.6381
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
